"id","code","country","city","latitude","longitude","altitude"
"1","AF","Afghanistan","Kabul","34.5166667","69.1833344","1808.0"
"2","AF","Afghanistan","Kandahar","31.6100000","65.6999969","1015.0"
"3","AF","Afghanistan","Mazar-e Sharif","36.7069444","67.1122208","369.0"
"4","AF","Afghanistan","Herat","34.3400000","62.1899986","927.0"
"5","AF","Afghanistan","Jalalabad","34.4200000","70.4499969","573.0"
"6","AF","Afghanistan","Konduz","36.7200000","68.8600006","394.0"
"7","AF","Afghanistan","Ghazni","33.5535554","68.4268875","2175.0"
"8","AF","Afghanistan","Balkh","36.7586111","66.8961105","328.0"
"9","AF","Afghanistan","Baghlan","36.1200000","68.6999969","565.0"
"10","AF","Afghanistan","Gardez","33.5900000","69.2200012","2279.0"
"11","AF","Afghanistan","Khost","33.3380556","69.9202805","1178.0"
"12","AF","Afghanistan","Khanabad","36.6800000","69.1100006","490.0"
"13","AF","Afghanistan","Tashqorghan","36.6952778","67.6980591","460.0"
"14","AF","Afghanistan","Taloqan","36.7360511","69.5345078","788.0"
"15","AF","Afghanistan","Cool urhajo","34.2654452","67.3451614","2733.0"
"16","AF","Afghanistan","Pol-e Khomri","35.9425000","68.7191696","832.0"
"17","AF","Afghanistan","Sheberghan","36.6672222","65.7536087","362.0"
"18","AF","Afghanistan","Charikar","35.0136110","69.1713867","1534.0"
"19","AF","Afghanistan","Sar-e Pol","36.2155556","65.9363861","629.0"
"20","AF","Afghanistan","Paghman","34.5875000","68.9533310","2276.0"
"21","AF","Afghanistan","Samangan","36.2652778","68.0166702","960.0"
"22","AF","Afghanistan","Nawab City","31.5800000","64.3600006","775.0"
"23","AF","Afghanistan","Gereshk","31.8188889","64.5647202","844.0"
"24","AF","Afghanistan","Farakh","32.3700000","62.1100006","653.0"
"25","AF","Afghanistan","Feyzabad","37.1175000","70.5797195","1235.0"
"26","AF","Afghanistan","Sindand","33.3000000","62.1399994","1071.0"
"27","AF","Afghanistan","Andkhvoy","36.9525000","65.1236115","319.0"
"28","AF","Afghanistan","Rostaq","37.1275000","69.8305588","1323.0"
"29","AF","Afghanistan","Qaravol","37.2211111","68.7799988","327.0"
"30","AF","Afghanistan","Nahrin","36.0652778","69.1338882","1156.0"
"31","AF","Afghanistan","Baraki Barak","33.9675000","68.9486084","1937.0"
"32","AF","Afghanistan","At Khvajeh","37.0841667","69.4805527","474.0"
"33","AF","Afghanistan","Eslam Qal`eh","34.6666667","61.0666656","721.0"
"34","AF","Afghanistan","Karokh","34.4791667","62.5869446","1309.0"
"35","AF","Afghanistan","Mehtar Lam","34.6713889","70.2094421","768.0"
"36","AF","Afghanistan","Kushk","33.2961111","61.9527779","1126.0"
"37","AF","Afghanistan","Shahrag","34.1083333","64.3033371","2393.0"
"38","AF","Afghanistan","Asmar","35.0300000","71.3499985","934.0"
"39","AF","Afghanistan","Sang-e Charak","35.8497222","66.4369431","1547.0"
"40","AF","Afghanistan","Khash","31.5291667","62.7924995","578.0"
"41","AF","Afghanistan","Achin","34.1200000","70.6999969","997.0"
"42","AF","Afghanistan","Jabal os Saraj","35.1183330","69.2377777","1575.0"
"43","AF","Afghanistan","Qarqin","37.4127778","66.0472260","250.0"
"44","AF","Afghanistan","Mirabad","30.4352778","61.8347206","499.0"
"45","AF","Afghanistan","Zarghun Shahr","32.8472222","68.4458313","2114.0"
"46","AF","Afghanistan","Sangin","32.0733333","64.8338852","892.0"
"47","AF","Afghanistan","Panjab","34.3875000","67.0233307","2707.0"
